Ticker,Name,Sector,Industry,MarketCap,EPS,PE,PS,BookMarket,DivRatio
229,DK,"Delek US Holdings, Inc.",Energy,Integrated oil Companies,,,,,0.72,
230,DLPH,Delphi Technologies PLC,Capital Goods,Auto Parts:O.E.M.,7076446339.0,4.06,4.26,0.32,0.84,0.95
231,DAL,"Delta Air Lines, Inc.",Transportation,Air Freight/Delivery Services,36627213609.0,5.09,10.18,0.82,0.38,1.27
232,DLX,Deluxe Corporation,Consumer Durables,Publishing,2596070785.0,3.73,13.08,1.18,0.42,1.21
233,DVN,Devon Energy Corporation,Energy,Oil & Gas Production,19731264000.0,4.11,7.45,1.17,0.62,0.28
234,DHX,"DHI Group, Inc.",Miscellaneous,Business Services,101535625.0,0.33,5.18,0.47,1.59,0.0
235,DKS,Dick&#39;s Sporting Goods Inc,Consumer Services,Other Specialty Stores,3403471672.0,3.33,11.07,0.43,0.53,0.86
236,DBD,Diebold Nixdorf Incorporated,Miscellaneous,Office Equipment/Supplies/Services,,,,,0.66,
237,DLR,"Digital Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts,22571770053.0,,,,0.48,
238,DIN,"Dine Brands Global, Inc.",Consumer Services,Restaurants,1361788600.0,7.52,12.16,2.61,-0.14,
239,DPLO,"Diplomat Pharmacy, Inc.",Health Care,Medical/Nursing Services,1379505965.0,0.03,472.79,0.21,0.69,0.0
240,DFS,Discover Financial Services,Finance,Finance: Consumer Services,26323008301.0,6.74,10.49,2.36,0.47,1.53
241,DLB,Dolby Laboratories,Miscellaneous,Multi-Sector Companies,7117460022.0,1.18,59.41,6.2,0.3,0.64
242,DG,Dollar General Corporation,Consumer Services,Department/Specialty Retail Stores,28072133320.0,6.8,15.67,1.13,0.23,1.13
243,D,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central,46973063461.0,4.79,15.35,3.62,0.42,3.28
244,DPZ,Domino&#39;s Pizza Inc,Consumer Non-Durables,Food Distributors,11848945982.0,8.16,32.81,3.48,-0.27,2.05
245,DCI,"Donaldson Company, Inc.",Capital Goods,Pollution Control Equipment,7391729123.0,1.49,30.21,2.09,0.15,0.74
246,DOV,Dover Corporation,Technology,Industrial Machinery/Components,16759523845.0,4.76,17.31,1.63,0.23,1.88
247,DDE,Dover Downs Gaming & Entertainment Inc,Consumer Services,Hotels/Resorts,84206521.0,-0.04,-64.21,0.42,1.5,0.0
248,DRQ,"Dril-Quip, Inc.",Energy,Metal Fabrications,1874321480.0,-2.47,-17.64,4.12,0.76,0.0
249,DSW,DSW Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,2564584228.0,0.46,53.67,0.65,0.48,0.95
250,DTE,DTE Energy Company,Public Utilities,Electric Utilities: Central,20465774107.0,6.74,17.24,1.53,0.51,3.36
251,DUK,Duke Energy Corporation,Public Utilities,Power Generation,58512817029.0,4.13,21.44,2.57,0.69,3.48
252,DRE,Duke Realty Corporation,Consumer Services,Real Estate Investment Trusts,9932108669.0,1.42,19.98,11.37,0.46,1.65
253,DNB,Dun & Bradstreet Corporation (The),Finance,Finance: Consumer Services,5303747501.0,6.3,22.8,2.97,-0.14,2.07
254,DY,"Dycom Industries, Inc.",Basic Industries,Water Supply,2548933727.0,3.88,14.05,0.54,0.48,0.0
255,EXP,Eagle Materials Inc,Capital Goods,Building Materials,3991111860.0,5.81,12.98,2.54,0.4,0.4
256,ESTE,"Earthstone Energy, Inc.",Energy,Oil & Gas Production,577724880.0,,,,,0.0
257,EMN,Eastman Chemical Company,Basic Industries,Major Chemicals,13017116123.0,10.81,7.4,1.12,0.54,2.2
258,ETN,"Eaton Corporation, PLC",Technology,Industrial Machinery/Components,37554111000.0,4.92,14.75,1.48,0.53,2.58
259,EV,Eaton Vance Corporation,Finance,Investment Managers,6168764206.0,3.14,13.6,2.92,,1.24
260,EFR,Eaton Vance Senior Floating-Rate Fund,,,,,,,0.12,
261,ECL,Ecolab Inc.,Basic Industries,Package Goods/Cosmetics,45467941970.0,5.54,28.93,3.18,0.17,1.69
262,EIX,Edison International,Public Utilities,Electric Utilities: Central,22578716576.0,1.42,48.98,1.76,0.63,2.36
263,EW,Edwards Lifesciences Corporation,Health Care,Industrial Specialties,30811146663.0,3.4,45.11,8.84,0.11,0.0
264,EE,El Paso Electric Company,Public Utilities,Electric Utilities: Central,2398346401.0,,,,,
265,LLY,Eli Lilly and Company,Health Care,Major Pharmaceuticals,1.24846206908e+11,0.43,243.69,4.52,0.13,2.21
266,ELLI,"Ellie Mae, Inc.",Technology,Computer Software: Prepackaged Software,3029957476.0,0.94,69.9,4.75,0.35,0.0
267,EFC,Ellington Financial LLC,Finance,Real Estate,477301743.0,,,,,
268,EME,"EMCOR Group, Inc.",Capital Goods,Engineering & Construction,4241907883.0,4.42,17.18,0.56,0.41,0.32
269,EMR,Emerson Electric Company,Energy,Consumer Electronics/Appliances,49084019725.0,3.49,19.37,2.45,0.22,1.94
270,ENR,"Energizer Holdings, Inc.",Miscellaneous,Industrial Machinery/Components,3413447087.0,1.56,30.88,1.61,0.01,1.17
271,ENS,Enersys,Consumer Non-Durables,Telecommunications Equipment,3637222525.0,2.89,29.13,1.32,0.34,
272,EBF,"Ennis, Inc.",Consumer Services,Office Equipment/Supplies/Services,498829554.0,1.39,13.41,1.27,0.58,0.92
273,ENVA,"Enova International, Inc.",Finance,Finance: Consumer Services,897216333.0,2.02,11.58,0.76,0.44,0.0
274,ESV,ENSCO plc,Energy,Oil & Gas Production,,,,,,0.04
275,ETM,Entercom Communications Corp.,Consumer Services,Broadcasting,1036105758.0,2.04,3.17,0.63,1.89,0.4
276,ETR,Entergy Corporation,Public Utilities,Electric Utilities: Central,14682878269.0,2.41,36.13,1.41,0.55,3.64
277,EPD,Enterprise Products Partners L.P.,Public Utilities,Natural Gas Distribution,63690089517.0,,,,0.41,
278,EVC,Entravision Communications Corporation,Consumer Services,Broadcasting,437940121.0,,,,,
279,ENZ,"Enzo Biochem, Inc.",Health Care,Medical Specialities,183003855.0,-0.44,-6.08,0.96,,0.0
280,EOG,"EOG Resources, Inc.",Energy,Oil & Gas Production,75197637787.0,8.6,11.9,3.68,0.3,0.71
281,EPE,EP Energy Corporation,Energy,Oil & Gas Production,622581094.0,,,,1.25,0.0
282,EPR,EPR Properties,Consumer Services,Real Estate Investment Trusts,5031218552.0,3.36,20.95,7.67,,
283,EQT,EQT Corporation,Energy,Oil & Gas Production,11837760000.0,-1.29,-13.59,0.93,1.78,0.11
284,EFX,"Equifax, Inc.",Finance,Finance: Consumer Services,15543155466.0,3.71,27.5,3.59,0.26,1.56
285,ELS,"Equity Lifestyle Properties, Inc.",Consumer Services,Real Estate Investment Trusts,8323811062.0,,,,,
286,EQR,Equity Residential,Consumer Services,Real Estate Investment Trusts,23893388096.0,,,,0.42,
287,ESS,"Essex Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts,16096409614.0,5.69,45.46,12.28,0.38,7.22
288,EL,"Estee Lauder Companies, Inc. (The)",Consumer Non-Durables,Package Goods/Cosmetics,50786631185.0,3.21,43.3,3.67,0.09,1.53
289,ESL,Esterline Technologies Corporation,Capital Goods,Industrial Machinery/Components,,2.35,50.06,1.71,0.53,0.0
290,RE,"Everest Re Group, Ltd.",Finance,Property-Casualty Insurers,9272551116.0,,,,0.9,5.25
291,ES,Eversource Energy,Public Utilities,Electric Utilities: Central,5652190690.0,,,,0.03,
292,EVH,"Evolent Health, Inc",Consumer Services,Other Consumer Services,2067606363.0,-0.64,-31.88,2.86,0.66,0.0
293,EXC,Exelon Corporation,Public Utilities,Power Generation,42293381871.0,3.85,11.91,1.25,0.75,1.36
294,EXPR,"Express, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,675837555.0,0.51,10.85,0.19,1.6,0.0
295,EXR,Extra Space Storage Inc,Consumer Services,Real Estate Investment Trusts,10884240684.0,4.2,23.27,10.53,0.22,3.28
296,XOM,Exxon Mobil Corporation,Energy,Integrated oil Companies,3.64658085273e+11,5.44,14.51,1.26,0.59,3.18
297,FNB,F.N.B. Corporation,Finance,Major Banks,4109674355.0,0.89,13.6,3.27,1.15,0.51
298,FDS,FactSet Research Systems Inc.,Technology,"Computer Software: Programming, Data Processing",8539939176.0,6.9,32.57,6.44,0.06,2.31
299,FICO,Fair Isaac Corporation,Miscellaneous,Business Services,6428366412.0,4.79,40.96,5.65,,0.0
300,FRT,Federal Realty Investment Trust,Consumer Services,Real Estate Investment Trusts,8985728244.0,3.15,40.87,10.4,0.27,
301,FII,"Federated Investors, Inc.",Finance,Investment Managers,,2.99,8.43,2.21,,1.08
302,FDX,FedEx Corporation,Transportation,Air Freight/Delivery Services,,18.07,12.27,0.88,0.33,2.16
303,FOE,Ferro Corporation,Basic Industries,Paints/Coatings,1906504872.0,0.72,25.74,0.98,0.25,0.0
304,FIS,"Fidelity National Information Services, Inc.",Miscellaneous,Business Services,35571820513.0,4.67,22.61,3.92,0.29,
305,FDC,First Data Corporation,Miscellaneous,Business Services,22462700000.0,1.93,9.28,1.62,0.4,0.0
306,FE,FirstEnergy Corp.,Public Utilities,Electric Utilities: Central,18459096532.0,-3.47,-11.19,1.3,,
307,FIT,"Fitbit, Inc.",Technology,Computer Manufacturing,1207064940.0,-1.02,-5.26,0.86,0.54,0.0
308,FLT,"FleetCor Technologies, Inc.",Miscellaneous,Business Services,,8.88,21.06,7.04,0.16,0.0
309,FLO,"Flowers Foods, Inc.",Consumer Non-Durables,Packaged Foods,4004676032.0,1.02,19.39,1.06,0.31,0.7
310,FLS,Flowserve Corporation,Capital Goods,Fluid Controls,7029686856.0,-0.38,-123.18,1.57,0.27,0.76
311,FLR,Fluor Corporation,Basic Industries,Military/Government/Technical,8257145977.0,1.67,26.69,0.32,0.51,0.84
312,FMC,FMC Corporation,Basic Industries,Major Chemicals,12195062540.0,7.42,11.03,2.46,0.28,0.66
313,FL,"Foot Locker, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,5726205122.0,2.84,16.75,0.71,0.46,1.34
314,F,Ford Motor Company,Capital Goods,Auto Manufacturing,36251737518.0,1.56,6.02,0.23,1.0,0.73
315,FOR,Forestar Group Inc,Finance,Real Estate,837101163.0,,,,1.25,
316,FBHS,"Fortune Brands Home & Security, Inc.",Basic Industries,Homebuilding,7350279117.0,2.94,14.59,1.16,0.37,0.78
317,FET,"Forum Energy Technologies, Inc.",Energy,Metal Fabrications,1238829390.0,0.54,13.31,0.75,1.8,0.0
318,FCPT,"Four Corners Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts,1532367158.0,1.28,21.19,12.09,0.37,1.05
319,FC,Franklin Covey Company,Consumer Services,Other Consumer Services,309725169.0,-0.43,-51.52,1.45,0.26,0.0
320,BEN,"Franklin Resources, Inc.",Finance,Investment Managers,16492558605.0,1.42,21.7,2.63,,
321,FCX,"Freeport-McMoran, Inc.",Basic Industries,Precious Metals,19225499127.0,2.18,5.55,0.88,0.77,
322,GME,Gamestop Corporation,Consumer Services,Electronics Distribution,1527159918.0,-5.8,-2.28,0.15,1.16,1.54
323,GPS,"Gap, Inc. (The)",Consumer Services,Clothing/Shoe/Accessory Stores,10822023861.0,2.41,11.27,0.63,0.33,0.96
324,IT,"Gartner, Inc.",Consumer Services,Other Consumer Services,14053185212.0,1.6,90.86,3.39,0.07,0.0
325,GD,General Dynamics Corporation,Capital Goods,Marine Transportation,61283936659.0,10.37,17.8,1.6,0.25,3.55
326,GE,General Electric Company,Energy,Consumer Electronics/Appliances,1.1828561241e+11,-3.65,-3.1,0.79,0.49,0.63
327,GIS,"General Mills, Inc.",Consumer Non-Durables,Packaged Foods,26339598773.0,3.64,12.2,1.61,0.25,1.97
328,GM,General Motors Company,Capital Goods,Auto Manufacturing,48266215488.0,0.53,69.44,0.35,0.79,1.58
329,GCO,Genesco Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,871287025.0,3.52,12.36,0.29,,0.0
330,GWR,"Genesee & Wyoming, Inc.",Transportation,Railroads,5682967621.0,10.14,7.81,2.05,0.76,0.0
331,GEL,"Genesis Energy, L.P.",Energy,Oil Refining/Marketing,,,,,1.27,
332,G,Genpact Limited,Consumer Services,Professional Services,5673782485.0,1.41,20.15,1.88,0.24,0.28
333,GPC,Genuine Parts Company,Capital Goods,Automotive Aftermarket,14560792192.0,4.99,20.14,0.8,0.25,2.79
334,GNW,Genworth Financial Inc,Finance,Life Insurance,2042773372.0,1.6,2.88,0.28,6.35,0.2
335,GEO,Geo Group Inc (The),Consumer Services,Real Estate Investment Trusts,2959953230.0,1.22,18.2,1.17,0.4,1.91
336,BRSS,"Global Brass and Copper Holdings, Inc.",Capital Goods,Metal Fabrications,,2.6,12.2,0.39,0.28,
337,GPN,Global Payments Inc.,Miscellaneous,Business Services,18643740319.0,3.9,28.1,4.91,0.24,0.04
338,GMED,"Globus Medical, Inc.",Health Care,Medical/Dental Instruments,5045366316.0,1.48,34.01,7.07,0.23,0.0
339,GDDY,GoDaddy Inc.,Technology,EDP Services,10804926254.0,0.87,68.74,3.41,0.07,-0.07
340,GS,"Goldman Sachs Group, Inc. (The)",Finance,Investment Bankers/Brokers/Service,85118770905.0,13.91,13.76,2.07,1.22,4.61
341,GRC,Gorman-Rupp Company (The),Capital Goods,Fluid Controls,933572838.0,1.47,24.1,2.28,0.38,0.5
342,GGG,Graco Inc.,Capital Goods,Fluid Controls,7305945540.0,,,,0.11,
343,GHC,Graham Holdings Company,Consumer Services,Other Consumer Services,3119391132.0,79.63,8.0,1.28,,5.31
344,GTN,"Gray Television, Inc.",Consumer Services,Broadcasting,1438159745.0,3.37,5.29,1.54,,0.0
345,AJX,Great Ajax Corp.,Consumer Services,Real Estate Investment Trusts,247508498.0,1.51,8.78,4.54,1.33,1.21
346,GDOT,Green Dot Corporation,Finance,Finance: Consumer Services,,2.25,37.64,4.32,,0.0
347,GBX,"Greenbrier Companies, Inc. (The)",Capital Goods,Railroads,1990339728.0,4.92,9.99,0.6,0.89,0.97
348,GFF,Griffon Corporation,Capital Goods,Building Products,712886083.0,,,,0.88,1.21
349,GRUB,GrubHub Inc.,Miscellaneous,Business Services,11321302069.0,1.55,50.68,7.52,,0.0
350,GES,"Guess?, Inc.",Consumer Non-Durables,Apparel,1723225013.0,,,,0.47,0.0
351,GWRE,"Guidewire Software, Inc.",Technology,Computer Software: Prepackaged Software,7665851137.0,-0.07,-1206.92,8.67,0.23,0.0
352,HRB,"H&R Block, Inc.",Consumer Services,Other Consumer Services,5323455036.0,2.73,10.26,1.84,-0.01,0.98
353,FUL,H. B. Fuller Company,Basic Industries,Home Furnishings,2593379735.0,2.42,19.47,0.81,0.47,0.61
354,HK,Halcon Resources Corporation,Energy,Oil & Gas Production,715225611.0,,,,2.03,0.0
355,HAL,Halliburton Company,Energy,Oilfield Services/Equipment,36791008422.0,0.19,182.19,1.28,0.29,0.72
356,HBI,Hanesbrands Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,6197120160.0,0.02,791.81,0.81,0.16,0.6
357,HOG,"Harley-Davidson, Inc.",Consumer Non-Durables,Motor Vehicles,7321735073.0,3.23,11.85,1.26,0.35,1.48
358,HRS,Harris Corporation,Capital Goods,Industrial Machinery/Components,19632820110.0,6.53,22.22,2.72,0.19,2.41
359,HIG,"Hartford Financial Services Group, Inc. (The)",Finance,Property-Casualty Insurers,17781172444.0,-5.85,-7.79,0.87,,0.99
360,HCHC,"HC2 Holdings, Inc.",Capital Goods,Metal Fabrications,251201948.0,3.69,0.86,0.07,,
361,HCA,"HCA Healthcare, Inc.",Health Care,Hospital/Nursing Management,48090012620.0,9.15,14.74,1.03,-0.08,1.05
362,HCP,"HCP, Inc.",Consumer Services,Real Estate Investment Trusts,11839780739.0,0.36,80.22,7.35,0.42,1.48
363,HEI,Heico Corporation,Capital Goods,Aerospace,7125877766.0,1.86,45.17,6.44,,0.12
364,HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Production,7830771001.0,4.43,14.12,2.74,0.62,2.83
365,HLF,Herbalife Nutrition Ltd.,Health Care,Other Pharmaceuticals,8334823789.0,0.91,60.71,2.33,-0.09,0.0
366,HRTG,"Heritage Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,390166459.0,,,,0.98,0.25
367,HSY,Hershey Company (The),Consumer Non-Durables,Specialty Foods,6439638911.0,16.86,6.29,0.83,0.19,9.07
368,HTZ,"Hertz Global Holdings, Inc",Consumer Services,Rental/Leasing Companies,1340009681.0,5.92,3.08,0.16,0.8,0.0
369,HES,Hess Corporation,Energy,Integrated oil Companies,21709413136.0,-9.88,-5.67,2.7,0.67,1.16
370,HPE,Hewlett Packard Enterprise Company,Technology,Computer Manufacturing,24650108740.0,1.25,11.73,0.73,1.04,0.37
371,HXL,Hexcel Corporation,Basic Industries,Major Chemicals,6022561779.0,3.36,17.48,2.44,0.27,0.53
372,HIL,"Hill International, Inc.",Consumer Services,Military/Government/Technical,311513643.0,-0.63,-5.53,0.42,0.56,0.0
373,HI,Hillenbrand Inc,Consumer Durables,Miscellaneous manufacturing industries,3242663763.0,1.21,38.51,1.67,0.26,0.83
374,HRC,Hill-Rom Holdings Inc,Health Care,Medical/Dental Instruments,5842376611.0,3.81,23.78,2.11,0.27,0.78
375,HTH,Hilltop Holdings Inc.,Finance,Major Banks,1908560389.0,1.12,17.78,1.26,1.04,0.27
376,HLT,Hilton Worldwide Holdings Inc.,Consumer Services,Hotels/Resorts,,4.69,15.36,2.29,0.03,0.6
377,HNI,HNI Corporation,Consumer Durables,Office Equipment/Supplies/Services,1829982282.0,2.18,17.36,0.73,0.33,1.16
378,HFC,HollyFrontier Corporation,Energy,Integrated oil Companies,12218490784.0,,,,0.66,1.34
379,HD,"Home Depot, Inc. (The)",Consumer Services,RETAIL: Building Materials,2.28874587859e+11,9.1,18.93,1.89,0.01,3.95
380,HON,Honeywell International Inc.,Capital Goods,Auto Parts:O.E.M.,1.21838382e+11,3.44,42.77,2.63,0.17,2.92
381,HRL,Hormel Foods Corporation,Consumer Non-Durables,Meat/Poultry/Fish,21501444819.0,1.91,23.69,2.51,0.23,0.73
382,HST,"Host Hotels & Resorts, Inc.",Consumer Services,Real Estate Investment Trusts,14907716624.0,1.18,15.8,2.51,0.53,0.85
383,HLI,"Houlihan Lokey, Inc.",Finance,Investment Managers,2903709666.0,2.7,14.76,2.5,0.32,0.97
384,HHC,Howard Hughes Corporation (The),Consumer Services,Real Estate Investment Trusts,5138184416.0,,,,0.69,0.0
385,HPQ,HP Inc.,Technology,Computer Manufacturing,40098231593.0,3.3,6.49,0.59,-0.02,0.56
386,HUBB,Hubbell Inc,Capital Goods,Electrical Products,7054906723.0,5.35,20.5,1.41,0.3,3.08
387,HUBS,"HubSpot, Inc.",Technology,Computer Software: Prepackaged Software,5657187711.0,-1.68,-75.53,10.15,0.05,0.0
388,HUM,Humana Inc.,Health Care,Medical Specialities,45592074105.0,10.9,29.17,0.79,0.24,1.82
389,HUN,Huntsman Corporation,Basic Industries,Major Chemicals,6267881704.0,5.23,4.2,0.56,0.76,0.62
390,H,Hyatt Hotels Corporation,Consumer Services,Hotels/Resorts,8422781960.0,,,,0.51,
391,IDA,"IDACORP, Inc.",Public Utilities,Electric Utilities: Central,5026188145.0,4.75,21.0,3.69,0.47,2.37
392,IEX,IDEX Corporation,Capital Goods,Fluid Controls,,,,,,1.61
393,IDT,IDT Corporation,Public Utilities,Telecommunications Equipment,132224764.0,0.26,25.21,0.08,0.22,0.5
394,ITW,Illinois Tool Works Inc.,Technology,Industrial Machinery/Components,47768917187.0,5.56,24.04,3.05,0.08,3.13
395,IHC,Independence Holding Company,Finance,Life Insurance,541350843.0,2.78,13.9,1.66,0.78,
396,IR,Ingersoll-Rand plc (Ireland),Capital Goods,Auto Parts:O.E.M.,25570171012.0,6.21,16.29,1.63,0.3,1.86
397,INGR,Ingredion Incorporated,Consumer Non-Durables,Packaged Foods,7389664998.0,6.23,16.72,1.28,0.39,2.53
398,ICE,Intercontinental Exchange Inc.,Finance,Investment Bankers/Brokers/Service,43592645923.0,4.49,18.09,7.79,0.36,0.92
399,IBM,International Business Machines Corporation,Technology,Computer Manufacturing,1.36029843207e+11,6.23,19.27,1.37,0.18,6.14
400,IFF,"International Flavors & Fragrances, Inc.",Basic Industries,Major Chemicals,10939243890.0,3.57,39.15,3.08,0.27,2.74
401,IGT,International Game Technology,Consumer Services,Services-Misc. Amusement & Recreation,4379607000.0,0.82,21.38,2.21,0.27,0.55
402,IP,International Paper Company,Basic Industries,Paper,19598949701.0,,,,0.38,1.9
403,IPG,"Interpublic Group of Companies, Inc. (The)",Technology,Advertising,9001886233.0,1.48,16.11,1.11,0.26,0.81
404,IPI,"Intrepid Potash, Inc",Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),471984840.0,0.02,176.62,2.86,0.82,0.0
405,IVZ,Invesco Plc,Finance,Investment Managers,9546122685.0,2.85,7.32,1.58,1.13,1.18
406,ITG,"Investment Technology Group, Inc.",Finance,Investment Bankers/Brokers/Service,922741103.0,-0.1,-293.08,0.49,0.36,1.11
407,IRM,Iron Mountain Incorporated,Consumer Services,Real Estate Investment Trusts,9518408129.0,0.81,40.53,2.22,0.22,2.31
408,JPM,J P Morgan Chase & Co,Finance,Major Banks,3.87577155219e+11,8.1,13.25,3.45,0.73,2.77
409,JCP,"J.C. Penney Company, Inc. Holding Company",Consumer Services,Department/Specialty Retail Stores,522726968.0,0.47,2.93,0.07,2.47,0.0
410,SJM,J.M. Smucker Company (The),Consumer Non-Durables,Packaged Foods,11853065588.0,11.84,8.52,1.5,0.7,3.2
411,JBL,Jabil Inc.,Technology,Electrical Products,4539585851.0,0.5,52.13,0.2,0.46,
412,JEC,Jacobs Engineering Group Inc.,Basic Industries,Military/Government/Technical,10852751261.0,1.19,54.88,0.6,0.64,0.63
413,JNJ,Johnson & Johnson,Health Care,Major Pharmaceuticals,3.73087059992e+11,0.57,254.03,4.81,0.17,3.48
414,JCI,Johnson Controls International plc,Consumer Services,Other Consumer Services,23156553339.0,,,,0.12,
415,JLL,Jones Lang LaSalle Incorporated,Finance,Real Estate,6186598944.0,7.41,19.2,0.7,0.55,0.79
416,JNPR,"Juniper Networks, Inc.",Technology,Computer Communications Equipment,10174299333.0,0.64,44.51,2.14,0.47,0.63
417,KSU,Kansas City Southern,Transportation,Railroads,11509724314.0,9.95,10.26,3.9,0.49,1.45
418,KAR,"KAR Auction Services, Inc",Consumer Durables,Automotive Aftermarket,7709522821.0,3.22,16.99,1.97,0.21,1.37
419,KBH,KB Home,Capital Goods,Homebuilding,,1.81,11.47,0.39,1.1,0.1
420,K,Kellogg Company,Consumer Non-Durables,Packaged Foods,24369563104.0,5.35,11.54,1.58,0.17,2.18
421,KEM,Kemet Corporation,Capital Goods,Electrical Products,1056313649.0,,,,0.45,
422,KEY,KeyCorp,Finance,Major Banks,21541151827.0,1.44,12.67,3.02,0.8,0.56
423,KEYS,Keysight Technologies Inc.,Capital Goods,Industrial Machinery/Components,12220309121.0,1.29,50.52,3.28,0.21,0.0
424,KRC,Kilroy Realty Corporation,Consumer Services,Real Estate Investment Trusts,7202100253.0,,,,,1.76
425,KMB,Kimberly-Clark Corporation,Consumer Durables,Containers/Packaging,39631383559.0,4.62,23.13,2.03,0.0,3.95
426,KIM,Kimco Realty Corporation,Consumer Services,Real Estate Investment Trusts,6691547954.0,,,,0.8,1.24
427,KMI,"Kinder Morgan, Inc.",Public Utilities,Natural Gas Distribution,40172561177.0,-0.02,-811.95,2.73,0.94,0.72
428,KKR,KKR & Co. Inc.,Finance,Investment Managers,,,,,2.34,
429,KSS,Kohl&#39;s Corporation,Consumer Services,Department/Specialty Retail Stores,12099597776.0,6.05,10.58,0.54,0.52,2.38
430,KFY,Korn Ferry ,Technology,Diversified Commercial Services,2664994100.0,1.37,31.26,1.23,0.46,0.42
431,KR,Kroger Company (The),Consumer Services,Food Chains,23159361901.0,2.13,13.97,0.22,0.3,1.48
432,KRO,Kronos Worldwide Inc,Basic Industries,Major Chemicals,1900886247.0,1.97,6.39,0.83,0.6,0.66
433,LB,"L Brands, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,8069411060.0,2.77,11.37,0.66,-0.15,2.41
434,SCX,L.S. Starrett Company (The),Capital Goods,Industrial Machinery/Components,42525274.0,-0.5,-10.46,0.17,2.39,0.1
435,LLL,"L3 Technologies, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,16256510445.0,4.58,45.87,1.57,0.29,2.79
436,LH,Laboratory Corporation of America Holdings,Health Care,Medical Specialities,17231290000.0,,,,,
437,LCI,Lannett Co Inc,Health Care,Major Pharmaceuticals,183615231.0,-7.3,-0.72,0.29,1.52,0.0
438,LAZ,Lazard Ltd.,Finance,Investment Managers,6110685225.0,,,,0.23,2.98
439,LZB,La-Z-Boy Incorporated,Consumer Durables,Home Furnishings,1381910814.0,1.8,14.92,0.76,0.53,0.48
440,LEA,Lear Corporation,Capital Goods,Auto Parts:O.E.M.,9368262332.0,20.1,6.97,0.43,0.51,2.63
441,LEE,"Lee Enterprises, Incorporated",Consumer Services,Newspapers/Magazines,164845036.0,0.84,2.32,0.2,-0.33,0.0
442,LM,"Legg Mason, Inc.",Finance,Investment Managers,2642418346.0,,,,,
443,LEG,"Leggett & Platt, Incorporated",Consumer Durables,Home Furnishings,5504130470.0,2.15,17.58,1.21,0.24,1.42
444,LDOS,"Leidos Holdings, Inc.",Technology,EDP Services,4914767493.0,3.56,18.97,1.02,0.23,1.26
445,LC,LendingClub Corporation,Miscellaneous,Business Services,,-0.49,-7.03,2.37,0.59,0.0
446,LEN,Lennar Corporation,Basic Industries,Homebuilding,14799103180.0,,,,,
447,LII,"Lennox International, Inc.",Capital Goods,Industrial Machinery/Components,8635569316.0,7.95,27.28,2.26,,
448,LNC,Lincoln National Corporation,Finance,Life Insurance,15145974359.0,9.45,6.67,0.88,1.12,1.29
449,LNN,Lindsay Corporation,Capital Goods,Industrial Machinery/Components,1082508910.0,1.89,54.88,2.03,0.25,1.21
450,LYV,"Live Nation Entertainment, Inc.",Consumer Services,Services-Misc. Amusement & Recreation,10924300886.0,-0.37,-140.0,0.95,0.17,0.0
451,LMT,Lockheed Martin Corporation,Capital Goods,Military/Government/Technical,99653438425.0,10.92,28.25,1.62,0.01,8.06
452,L,Loews Corporation,Finance,Property-Casualty Insurers,15943758744.0,3.95,12.55,1.12,1.4,0.66
453,LOW,"Lowe&#39;s Companies, Inc.",Consumer Services,RETAIL: Building Materials,89564737546.0,4.51,20.41,1.06,0.07,1.72
454,LL,"Lumber Liquidators Holdings, Inc",Consumer Services,RETAIL: Building Materials,397954662.0,0.19,64.08,0.33,0.61,0.0
455,LYB,LyondellBasell Industries NV,Basic Industries,Major Chemicals,40295033586.0,,,,0.32,
456,MTB,M&T Bank Corporation,Finance,Major Banks,24703125585.0,11.56,14.56,4.22,0.65,3.79
457,MAC,Macerich Company (The),Consumer Services,Real Estate Investment Trusts,7306436724.0,0.57,84.85,7.09,0.48,3.22
458,MIC,Macquarie Infrastructure Corporation ,Energy,Oil Refining/Marketing,3778513024.0,5.72,6.51,1.65,1.0,4.86
459,M,Macy&#39;s Inc,Consumer Services,Department/Specialty Retail Stores,10185354584.0,5.52,5.54,0.37,0.57,1.5
460,MNK,Mallinckrodt plc,Health Care,Major Pharmaceuticals,2136819600.0,19.95,1.33,0.69,3.0,0.0
461,MAN,ManpowerGroup,Technology,Professional Services,5357049395.0,9.34,8.6,0.24,0.57,1.94
462,MRO,Marathon Oil Corporation,Energy,Oil & Gas Production,19995592928.0,0.8,21.51,2.35,0.85,0.2
463,MPC,Marathon Petroleum Corporation,Energy,Integrated oil Companies,37821248440.0,8.22,7.76,0.35,0.46,1.78
